iterace, aco, random
0,11299,26342
1,11299,25552
2,10528,25552
3,9674,25552
4,8776,25291
5,8776,25291
6,8776,25291
7,8776,25291
8,8493,25291
9,8493,25291
10,8195,25291
11,8195,25291
12,8195,25291
13,8195,25291
14,8195,25291
15,8195,24673
16,8195,24673
17,8195,24673
18,8195,24673
19,8195,24673
20,8195,24673
21,8195,24673
22,7990,24673
23,7990,24673
24,7990,24673
25,7990,24673
26,7990,24673
27,7990,24673
28,7990,24673
29,7990,24673
30,7990,24673
31,7990,24670
32,7990,24670
33,7990,24670
34,7990,24670
35,7990,24670
36,7990,24670
37,7990,24670
38,7990,24670
39,7980,24670
40,7980,24670
41,7980,24670
42,7980,24670
43,7980,24670
44,7980,24670
45,7980,24670
46,7980,24670
47,7786,24670
48,7786,24670
49,7786,24670
0,11855,26421
1,11422,26421
2,9824,26421
3,9370,26421
4,9164,26421
5,9000,26421
6,8726,25679
7,8726,25679
8,8484,25679
9,8204,25679
10,8204,25679
11,8204,25679
12,8204,24872
13,8204,24872
14,7985,24872
15,7985,24872
16,7985,24872
17,7985,24872
18,7985,24872
19,7985,24872
20,7985,24872
21,7985,24872
22,7985,24872
23,7985,24872
24,7985,24872
25,7985,24872
26,7985,24872
27,7985,24872
28,7759,24872
29,7759,24872
30,7759,24872
31,7759,24872
32,7759,24872
33,7759,24872
34,7759,24872
35,7759,24872
36,7759,24872
37,7759,24872
38,7759,24872
39,7759,24872
40,7759,24707
41,7759,24707
42,7759,24707
43,7759,24707
44,7759,24707
45,7759,24707
46,7759,24707
47,7759,24707
48,7759,24707
49,7759,24707
0,11498,26162
1,10155,26162
2,10155,26162
3,9238,25913
4,9238,25913
5,9211,25913
6,9011,25913
7,9011,25913
8,8462,25913
9,8462,25913
10,8173,25913
11,8173,25913
12,8173,25913
13,7821,25913
14,7821,25643
15,7821,25643
16,7821,25643
17,7737,25643
18,7737,25643
19,7737,25643
20,7737,25643
21,7737,25643
22,7737,25643
23,7737,25643
24,7737,25643
25,7737,25643
26,7737,24655
27,7737,24655
28,7737,24655
29,7737,24655
30,7737,24655
31,7737,24655
32,7737,24655
33,7737,24655
34,7737,24655
35,7737,24655
36,7737,24655
37,7737,24655
38,7737,24655
39,7737,24655
40,7737,24655
41,7737,24655
42,7737,24655
43,7737,24655
44,7737,24655
45,7737,24655
46,7737,24655
47,7737,24655
48,7737,24655
49,7737,24655
0,12110,25460
1,11399,25460
2,10516,25460
3,9675,25460
4,8206,25460
5,8206,25460
6,8206,25460
7,8206,25460
8,8206,25460
9,8206,25460
10,8206,25460
11,8206,24454
12,8206,24454
13,8206,24454
14,7897,24454
15,7884,24454
16,7884,24454
17,7884,24454
18,7884,24454
19,7884,24454
20,7884,24454
21,7884,24454
22,7706,24454
23,7706,24454
24,7706,24454
25,7706,24454
26,7706,24454
27,7706,24454
28,7706,24454
29,7706,24454
30,7706,24454
31,7706,24058
32,7706,24058
33,7706,24058
34,7706,24058
35,7706,24058
36,7706,24058
37,7706,24058
38,7706,24058
39,7706,24058
40,7706,24058
41,7706,24058
42,7706,24058
43,7706,24058
44,7706,24058
45,7706,24058
46,7706,24058
47,7706,24058
48,7706,24058
49,7706,24058
0,11479,26180
1,11046,26180
2,9728,26180
3,9571,25183
4,9215,25183
5,8876,25183
6,8427,25183
7,8427,25183
8,8427,24726
9,8427,24726
10,8427,24701
11,8427,24701
12,8181,24701
13,8181,24701
14,8181,24701
15,8181,24143
16,8181,24143
17,8181,24143
18,8181,24143
19,8181,24143
20,8181,24143
21,8181,24143
22,8181,24143
23,8181,24143
24,8181,24143
25,8181,24143
26,8181,24143
27,8181,24143
28,8181,24143
29,8181,24143
30,8181,24143
31,8181,24143
32,8181,24143
33,8181,24143
34,8181,24143
35,8181,24143
36,8181,24143
37,8078,24143
38,8078,24143
39,8078,24143
40,8078,24143
41,8078,24143
42,8078,24143
43,8078,24143
44,8078,24143
45,8048,24143
46,8048,24143
47,8048,24143
48,8048,24143
49,8048,24143
0,11888,24779
1,11645,24779
2,10692,24779
3,9981,24779
4,9121,24779
5,9121,24779
6,8500,24779
7,8500,24779
8,8500,24779
9,8500,24779
10,8110,24779
11,8110,24779
12,8110,24779
13,8110,24779
14,8110,24779
15,8110,24779
16,8110,24779
17,8110,24779
18,8110,24779
19,8110,24779
20,8110,24779
21,8110,24779
22,8110,24779
23,8110,24779
24,8110,24779
25,8110,24779
26,8110,24779
27,8107,24779
28,8107,24779
29,8107,24779
30,8107,24779
31,8052,24779
32,8052,24779
33,8052,24779
34,8052,24779
35,8052,24779
36,8013,24779
37,8013,24779
38,8013,24779
39,8013,24779
40,8013,24779
41,8013,24779
42,8013,24779
43,8013,24779
44,8013,24779
45,8013,24779
46,8013,24779
47,8013,24779
48,8013,24779
49,8013,24779
0,11952,26059
1,11561,26059
2,10347,25987
3,9601,25987
4,9537,25987
5,8892,25987
6,8892,25987
7,8526,25796
8,8526,25796
9,8240,25075
10,8035,25075
11,8035,25075
12,8035,25075
13,8035,25075
14,8035,25075
15,8035,25075
16,8035,25075
17,8035,25075
18,8035,25075
19,8035,25075
20,8035,25075
21,8035,25075
22,8035,25075
